	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	9.16936585296769	-0.171667901989126	0.421355092815334	-0.407418599932201	0.683700568289433	0.999939633922029
0610007P14Rik	1523.23386353616	-0.0279130563231716	0.0963936941654098	-0.289573468107502	0.772142567101942	0.999939633922029
0610009B22Rik	265.313387643967	-0.288851724274485	0.156282614055793	-1.84826524703103	0.0645639806134666	0.999939633922029
0610009L18Rik	60.0913667899951	-0.136480873782862	0.282089151486204	-0.48382177430009	0.628512360543494	0.999939633922029
0610009O20Rik	714.538923463338	0.0220002333982095	0.100037384029888	0.219920118979087	0.825933367189765	0.999939633922029
0610010F05Rik	852.150870152605	0.122471840724164	0.123740951460415	0.989743809779444	0.32229935573721	0.999939633922029
0610010K14Rik	480.234831177292	-0.0888327640580471	0.119540990669309	-0.743115508418267	0.457411751137171	0.999939633922029
0610011F06Rik	886.591967207952	-0.0947814332676792	0.133162494209433	-0.711772739241508	0.476605516218481	0.999939633922029
0610012G03Rik	738.573099714706	-0.172364401572522	0.134197903994198	-1.28440457296541	0.199000433729264	0.999939633922029
0610030E20Rik	519.683962520977	0.0257782210432373	0.127474852555413	0.202222011059252	0.839743166254445	0.999939633922029
0610031J06Rik	1176.92816106597	-0.0774003216384968	0.108157131722702	-0.715628460238191	0.474220795331667	0.999939633922029
0610037L13Rik	513.86632438188	0.0123483777397442	0.102865650061377	0.120043743780128	0.904448495958397	0.999939633922029
0610039K10Rik	19.1941847624273	-0.00283525892548626	0.380475015472322	-0.00745189252957008	0.994054305030048	0.999939633922029
0610040B10Rik	44.9757918897566	-0.283447654251445	0.262888735126842	-1.0782038801118	0.280942780757105	0.999939633922029
0610040F04Rik	25.1201156306508	-0.117249716486476	0.289266021427976	-0.405335254751549	0.685231095494633	0.999939633922029
1110001J03Rik	274.192847543576	0.0424612141386044	0.157036907515551	0.270390030027811	0.786860209433379	0.999939633922029
1110002L01Rik	80.4726350138216	-0.148881193236212	0.240984219783576	-0.617804739953181	0.536704058579854	0.999939633922029
1110004E09Rik	504.324741789672	-0.0346429820871304	0.116178234951966	-0.298188228642427	0.765559505547559	0.999939633922029
1110004F10Rik	2109.74416759719	0.0106473380659646	0.0737164035732061	0.144436482924604	0.885155809629303	0.999939633922029
1110006O24Rik	23.2471378082696	0.0180916870692296	0.305417565742832	0.059235908796625	0.952764208762081	0.999939633922029
1110007C09Rik	455.697495637676	-0.188271518815208	0.163162777985942	-1.15388767670669	0.248546222102041	0.999939633922029
1110008F13Rik	842.889033222114	0.00687021907592357	0.104138113355803	0.0659721868827265	0.947399968852504	0.999939633922029
1110008L16Rik	492.508192075356	0.0108536735025068	0.0997673193956533	0.108789867947275	0.913369160325532	0.999939633922029
1110008P14Rik	336.51456715296	-0.138114424483844	0.120956002332067	-1.14185672327918	0.253513579808188	0.999939633922029
1110012L19Rik	389.680156738805	0.111887790408375	0.15920232074049	0.702802508706885	0.482178833599411	0.999939633922029
1110019D14Rik	38.2563493655538	0.128383723021672	0.277350851925245	0.46289283818849	0.643441181256403	0.999939633922029
1110020A21Rik	13.7554824998458	-0.279317721537726	0.390068362983782	-0.716073765637178	0.473945801801145	0.999939633922029
1110032A03Rik	136.678388961082	-0.0445092471157888	0.180958174473751	-0.245964280117366	0.805709883518709	0.999939633922029
1110032F04Rik	882.59240131964	0.22449500147393	0.138143965234045	1.62508004670047	0.104145503866026	0.999939633922029
1110034G24Rik	129.369151399071	0.224993195847478	0.172755773928119	1.30237728517886	0.192787443646	0.999939633922029
1110037F02Rik	3279.76776696989	0.0466685281583439	0.079768906454158	0.585046608168856	0.558516377920381	0.999939633922029
1110038B12Rik	997.013680885601	-0.127227910651263	0.105973552454852	-1.20056285463739	0.229920817218221	0.999939633922029
1110038F14Rik	551.247631274707	0.0181169907885465	0.0914777034463552	0.198048159343776	0.843007384197534	0.999939633922029
1110046J04Rik	38.7925513623132	-0.117319033069742	0.273650611003051	-0.428718330427678	0.668128219201528	0.999939633922029
