	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610005C13Rik	9.16936585296769	0.266982786060661	0.418016651960695	0.638689355575634	0.523025038698074	0.847170558186487
0610007P14Rik	1523.23386353616	-0.0433604487024635	0.096636084851342	-0.448698317705711	0.653649298382486	0.899993972022205
0610009B22Rik	265.313387643967	-0.0662885651651575	0.155277390164723	-0.426904168693436	0.669449129090965	0.906991725196789
0610009L18Rik	60.0913667899951	-0.121652922126474	0.28290513925664	-0.430013121875864	0.667186096008416	0.905324369842953
0610009O20Rik	714.538923463338	0.0207969429293354	0.100466895940917	0.207002940964412	0.836007561688308	0.958588200377102
0610010F05Rik	852.150870152605	0.116268468450428	0.124022739857704	0.937477019003341	0.348513239517578	0.733211322189922
0610010K14Rik	480.234831177292	-0.0635376699139747	0.11993776307808	-0.529755335461869	0.596281576382833	0.87994981198021
0610011F06Rik	886.591967207952	-0.0653476615540244	0.133306658428494	-0.490205533049778	0.623988465888176	0.890025627995231
0610012G03Rik	738.573099714706	-0.245790891932143	0.1346838017443	-1.82494768300929	0.0680089246193487	0.342916614831744
0610030E20Rik	519.683962520977	0.316432639822596	0.12616553511984	2.50807512148249	0.0121390856837287	0.125164273855113
0610031J06Rik	1176.92816106597	-0.154307381791391	0.108440755201364	-1.42296483923279	0.154746348237767	0.515032398763199
0610037L13Rik	513.86632438188	0.027568722771038	0.103292211964953	0.266900303968628	0.789545922599038	0.942693023872097
0610038B21Rik	5.76066134724754	0.0442250685825732	0.425983663049789	0.103818696393068	0.917313229069579	0.986397645691397
0610039K10Rik	19.1941847624273	-0.188644824683462	0.386329380043964	-0.488300487687459	0.625337016100772	0.890328843563308
0610040B10Rik	44.9757918897566	-0.26853807396292	0.263933981827098	-1.0174441051658	0.308942209529047	0.69974389363892
0610040F04Rik	25.1201156306508	-0.231623306227584	0.293701766263363	-0.788634365991135	0.430325739031691	0.79615075042776
0610043K17Rik	3.07794758542143	0.0405742041920814	0.414693498299984	0.0978414283281832	0.92205821013363	0.987760898856851
1100001G20Rik	5.6754898501739	0.114177871819153	0.424554840763985	0.268935508104655	0.787979311718295	0.942524715410884
1110001J03Rik	274.192847543576	-0.0556631171678631	0.159203786774406	-0.3496343792798	0.726613106491723	0.927366803593318
1110002L01Rik	80.4726350138216	0.251034261793118	0.235950721293551	1.06392665560365	0.287361926642479	0.679253045360603
1110004E09Rik	504.324741789672	-0.220705703674815	0.118274754101395	-1.86604238031733	0.0620354363797456	0.325885355959456
1110004F10Rik	2109.74416759719	-0.0390757940143255	0.0740043181008673	-0.528020459036802	0.597485136030944	0.880565698434223
1110006O24Rik	23.2471378082696	-0.143226913633321	0.310432427495701	-0.46137871223297	0.644526921688664	0.895990485763032
1110007C09Rik	455.697495637676	-0.27509007969854	0.163805682340356	-1.67936835748443	0.0930802761826919	0.403365643835826
1110008F13Rik	842.889033222114	-0.07208617843548	0.104663211536868	-0.68874418601313	0.490984264742814	0.83275695085084
1110008L16Rik	492.508192075356	-0.0761102343133909	0.101060850853087	-0.753112938105309	0.451382050302133	0.810263651106584
1110008P14Rik	336.51456715296	-0.0558714859180298	0.120908670675038	-0.462096602386718	0.644012046578609	0.895990485763032
1110012L19Rik	389.680156738805	0.272175453417504	0.15877791653702	1.71418960113414	0.086493910087431	0.390371201480843
1110019D14Rik	38.2563493655538	0.255177427981433	0.276365980263758	0.923331546588682	0.35583445281096	0.739079534465965
1110020A21Rik	13.7554824998458	-0.279510410078078	0.391317493616391	-0.714280385205784	0.475053818661688	0.825115779525955
1110028F11Rik	2.22132671795515	0.105315477637021	0.397140735254792	0.26518427420812	0.790867508727114	0.943005377009529
1110032A03Rik	136.678388961082	0.079674334568902	0.180498764441289	0.441412077337614	0.658914700390558	0.901766892471885
1110032F04Rik	882.59240131964	0.427993649914418	0.137941993788193	3.10270743637062	0.00191759106527918	0.0346909656355051
1110034G24Rik	129.369151399071	0.188428986797828	0.174492347871296	1.07986962807568	0.2802002397949	0.673996252605753
1110037F02Rik	3279.76776696989	0.150403706371641	0.0797228619597013	1.88658187469069	0.0592165865512806	0.31816909042666
1110038B12Rik	997.013680885601	-0.308537745383372	0.1070483249816	-2.88222861437958	0.00394873123039977	0.0588147840380965
1110038F14Rik	551.247631274707	-0.0465545726385859	0.0922050433151737	-0.504902670881612	0.613627198101807	0.886558821560158
1110046J04Rik	38.7925513623132	0.262541508526709	0.269284590570858	0.974959272530764	0.329580462711684	0.718410924249644
1110051M20Rik	374.417869890056	0.0983666372661455	0.113584312154965	0.866023092449093	0.38647749825681	0.764295876207806
1110054M08Rik	55.7738807636539	-0.294005652869676	0.228887376850395	-1.28449920181419	0.198967342684098	0.577590799667253
1110057K04Rik	792.228196823723	0.176094147853882	0.0897322658784223	1.9624395542677	0.0497113314842396	0.290732473846728
1110058L19Rik	232.46157120626	0.0781571670010852	0.15240636929467	0.512820870694533	0.608076629106609	0.88428180241477
1110059E24Rik	1069.03128964347	-0.226690871436013	0.137704013471405	-1.64621833250406	0.0997188162355655	0.418295387964256
1110059G10Rik	354.530873016457	0.00528311088060818	0.110106387390799	0.047981874674145	0.961730687881883	0.993045467742663
1110065P20Rik	119.978129370251	-0.202998169213891	0.179714622777965	-1.12955844146691	0.258662330906402	0.648757726804051
1190002F15Rik	415.106665502485	0.00608327072078445	0.171908149663189	0.0353867500331025	0.971771350037632	0.993119436322818
1190002N15Rik	936.816438072608	0.195541264889301	0.136659149281918	1.43086844837526	0.152467921224261	0.511631870555961
