regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	var.exp.ranksum	prior	stroke	stroke-width	stroke-dasharray
Gata3	Map3k14	48	48	0.531726416886555	59247.5	1	None	None	None
Crebbp	Qrich1	45	45	0.851664569742352	59673	0	cyan	None	5,5
Nfkb1	Cd44	47	47	0.605490017751203	60064.5	1	magenta	3	10,5,3
Rxra	Serpine1	49	49	0.458934700854026	60365.5	1	None	None	None
Egr2	Arl4c	45	45	0.713851743409341	61162	0	cyan	None	5,5
H2afx	H1f0	45	45	0.708365900993448	61275.5	0	magenta	3	10,5,3
Exo1	Socs2	46	46	0.624823377725582	61495	0	None	None	None
Tbx21	Socs3	46	46	0.608859303792171	61899.5	1	cyan	None	5,5
Arid5a	Cldnd1	45	45	0.683450668787492	62105.5	0	magenta	3	10,5,3
Foxo1	Eomes	50	50	0.41691827339426	62401	1	None	None	None
H1f0	Zadh2	44	44	0.801126201950016	62764.5	0	cyan	None	5,5
Mxi1	Myo10	46	46	0.588542193439577	63243.5	1	magenta	3	10,5,3
Nfyb	Adrb2	-44	44	0.897185108347883	63807	0	None	None	None
Klf4	Il10rb	46	46	0.644542609432609	64866	1	cyan	None	5,5
Stat4	Ly6a	47	47	0.582263450762431	65091	1	magenta	3	10,5,3
Nfyb	Rsad2	-44	44	0.777765228151222	65435	0	None	None	None
Rara	Dhrs3	48	48	0.502598715881792	65525.5	1	cyan	None	5,5
Rxra	Ndrg1	47	47	0.547676804007187	65599	1	magenta	3	10,5,3
Pou2f2	Dip2b	45	45	0.768896717690735	67191.5	1	None	None	None
Arid3a	Zadh2	44	44	0.727971287559108	67358	1	cyan	None	5,5
Nfyb	Galk1	43	43	0.897437952597758	68128	0	magenta	3	10,5,3
Stat3	Gatm	44	44	0.79370026299908	69223	0	None	None	None
Irf5	Inpp5b	-47	47	0.448607252190975	70008.5	0	cyan	None	5,5
Stat2	Ifih1	46	46	0.555532639903953	70457.5	1	magenta	3	10,5,3
Irf4	Gpsm2	45	45	0.715579312969718	70819	1	None	None	None
Prkrir	Tg	44	44	0.696949594833527	71218	0	cyan	None	5,5
Fosl2	Sorl1	47	47	0.50636025479922	71381	1	magenta	3	10,5,3
Inhba	Ptprj	45	45	0.586103163345975	71747.5	0	None	None	None
H1f0	Rdh11	44	44	0.673493857083439	72236	0	cyan	None	5,5
Stat2	Ptprc	45	45	0.616209749783479	72356	1	magenta	3	10,5,3
Stat3	Il24	45	45	0.596827323173034	72889.5	0	None	None	None
Exo1	Retsat	46	46	0.49065311866596	73933.5	0	cyan	None	5,5
Nupr1	Trib3	44	44	0.74688862535566	74049.5	0	magenta	3	10,5,3
Mxi1	Fbxo18	-43	43	0.756738016688245	74342.5	1	None	None	None
Hmgn1	Ypel3	-44	44	0.669661879774673	74996.5	0	cyan	None	5,5
Fbxo18	Ascc1	46	46	0.491012683415734	75015	0	magenta	3	10,5,3
Dnmt3a	Trp53i13	-46	46	0.501694709467359	77028	0	None	None	None
Bcl3	Ppp1r10	47	47	0.497889497102791	77187.5	1	cyan	None	5,5
Bcl3	Fam49b	-45	45	0.602046008812175	78133	0	magenta	3	10,5,3
Rpa2	Fam111a	42	42	0.883776400585758	78135.5	0	None	None	None
Nfyb	Pik3ca	-42	42	0.8779585706187	78163.5	0	cyan	None	5,5
Ifih1	D730040f13rik	47	47	0.476820907076856	78248	0	magenta	3	10,5,3
Cebpb	Il2ra	-47	47	0.435171601236318	79401.5	1	None	None	None
Nfe2l2	Gem	43	43	0.751872711463831	79470.5	0	cyan	None	5,5
Stat2	Psme1	44	44	0.631449779011522	79493	1	magenta	3	10,5,3
Klf4	Rnf181	44	44	0.61542556700485	79811	0	None	None	None
Nfatc1	Ptger2	44	44	0.637459178442487	80187.5	1	cyan	None	5,5
Ifih1	Trat1	44	44	0.616446054132832	80638.5	0	magenta	3	10,5,3
Naca	Rpl14	46	46	0.528740718213262	80656	0	None	None	None
Myb	Slc39a8	44	44	0.605209515996923	80767.5	1	cyan	None	5,5
Tcf12	Cmas	-44	44	0.617140227371962	81225	0	magenta	3	10,5,3
H1f0	Trpv2	43	43	0.680983937235929	81868	0	None	None	None
Maff	Smarca2	-43	43	0.717282378471877	81983	1	cyan	None	5,5
Fosl2	Ss18	44	44	0.604990089457851	82603	1	magenta	3	10,5,3
Exo1	Tef	-43	43	0.785605815033314	82609	0	None	None	None
Myb	Ikbke	-44	44	0.632473454380439	82821	0	cyan	None	5,5
Prkrir	Ercc5	45	45	0.544270819535921	84120	0	magenta	3	10,5,3
Egr2	Rell1	42	42	0.710001499268836	85750.5	1	None	None	None
Sox4	Acy1	-43	43	0.657128696326811	86076.5	0	cyan	None	5,5
Egr2	Cbx4	43	43	0.656527026094475	86105	1	magenta	3	10,5,3
Stat4	Etv6	47	47	0.408091879451073	87186.5	1	None	None	None
Rara	Pkp4	45	45	0.516106442262321	87564	1	cyan	None	5,5
Exo1	Cenpm	41	41	0.88903530604934	89145.5	0	magenta	3	10,5,3
Ifih1	Il3	45	45	0.498864396237061	89611.5	0	None	None	None
Rara	Csf2	43	43	0.616900602315937	89748.5	1	cyan	None	5,5
Cebpb	Gnpda1	-43	43	0.650645786444092	89789	0	magenta	3	10,5,3
Dnmt3a	Rab7l1	-43	43	0.607932865489533	90409.5	0	None	None	None
Klf3	Tapbp	46	46	0.390313847489561	90803	0	cyan	None	5,5
Ifih1	Ms4a4c	45	45	0.469059911092647	91818	0	magenta	3	10,5,3
H2afx	Gtse1	46	46	0.394615943474886	92053	0	None	None	None
Klf4	Bcl2	45	45	0.508803508998222	92053.5	1	cyan	None	5,5
Pou2f2	Cnot1	43	43	0.696355546231108	92210	0	magenta	3	10,5,3
Stat4	Gypc	-44	44	0.530501890088623	92818	0	None	None	None
Rora	Il24	44	44	0.519252405814757	93701.5	1	cyan	None	5,5
